Date: 2019-12-23 15:08:40.2407 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/backbone-min-js: Correlation ID not set, using generated 89dbbbb8-d11c-416d-a545-ed01b3a41581 , 
Date: 2019-12-23 15:08:40.2407 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/swagger-ui-min-js: Correlation ID not set, using generated 9f690c6a-815c-4fc4-9457-6245110f840e , 
Date: 2019-12-23 15:08:40.2567 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jquery-ba-bbq-min-js: Correlation ID not set, using generated e713183d-14d1-48c8-adb3-c60268297695 , 
Date: 2019-12-23 15:08:40.2567 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/highlight-9-1-0-pack-js: Correlation ID not set, using generated 35097187-4245-453d-aa3d-c8198006d2e6 , 
Date: 2019-12-23 15:08:40.2567 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/highlight-9-1-0-pack_extended-js: Correlation ID not set, using generated b97f30b2-bd1a-43a5-a975-dcb1a7b1f877 , 
Date: 2019-12-23 15:08:40.2567 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jsoneditor-min-js: Correlation ID not set, using generated aefa9567-8b93-4dcc-9b6d-372d792c693d , 
Date: 2019-12-23 15:08:40.2717 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/marked-js: Correlation ID not set, using generated f75038e8-9360-400e-9a50-fc27f26bef33 , 
Date: 2019-12-23 15:08:40.2717 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/images/logo_small-png: Correlation ID not set, using generated 55bc65cb-87fd-475c-8bf3-f79887eb531a , 
Date: 2019-12-23 15:08:40.2717 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/swagger-oauth-js: Correlation ID not set, using generated 2a228c1a-0e07-4c76-8f27-c670387363c0 , 
Date: 2019-12-23 15:08:40.4817 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/docs/v1: Correlation ID not set, using generated 491ffbc1-fff2-4572-a623-979cc3d8541e , 
Date: 2019-12-23 15:08:40.5447 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/images/favicon-32x32-png: Correlation ID not set, using generated c361855e-8330-47b8-b7fb-5d316659c8d2 , 
